username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
UPIworldnews;2017-08-31 09:07;0;0;"Oil prices bounce back after Harvey downgraded to tropical depression https://www. upi.com/Energy-News/20 17/08/31/Oil-prices-bounce-back-after-Harvey-downgraded-to-tropical-depression/7741504186501/?utm_source=dlvr.it&utm_medium=twitter … – via @UPI";;@UPI;;"903257854299127808";https://twitter.com/UPIworldnews/status/903257854299127808
UPI_Mideast;2017-08-31 09:07;0;0;"Oil prices bounce back after Harvey downgraded to tropical depression https://www. upi.com/Energy-News/20 17/08/31/Oil-prices-bounce-back-after-Harvey-downgraded-to-tropical-depression/7741504186501/?utm_source=dlvr.it&utm_medium=twitter … – via @UPI pic.twitter.com/v2F23YdJFX";;@UPI;;"903257837760946176";https://twitter.com/UPI_Mideast/status/903257837760946176
CrudeOilPrices;2017-08-31 09:07;12;2;"Oil prices bounce back after Harvey downgraded to tropical depression https://www. upi.com/Energy-News/20 17/08/31/Oil-prices-bounce-back-after-Harvey-downgraded-to-tropical-depression/7741504186501/?utm_source=dlvr.it&utm_medium=twitter … – via @UPI";;@UPI;;"903257836880138240";https://twitter.com/CrudeOilPrices/status/903257836880138240
CBS7News;2017-08-31 09:06;0;2;"Harvey is now a tropical depression and continues to weaken as it moves inland. pic.twitter.com/HI01yakdk7";;;;"903257621192482816";https://twitter.com/CBS7News/status/903257621192482816
GMorganWeather;2017-08-31 09:06;0;0;"Harvey is now a tropical depression and continues to weaken as it moves inland. pic.twitter.com/un0TD8CP0C";;;;"903257593145155588";https://twitter.com/GMorganWeather/status/903257593145155588
knssradio;2017-08-31 09:05;0;0;"Harvey downgraded to Tropical Depression http://www. knssradio.com/blogs/steve-te d/harvey-downgraded-tropical-depression … via @AddThis";;@AddThis;;"903257412680941570";https://twitter.com/knssradio/status/903257412680941570
NashvillePatch;2017-08-31 09:03;0;0;"Tropical Depression Harvey In Tennessee: Nashville's Flood-Prone Areas http:// dlvr.it/Pjtdll pic.twitter.com/CZvLwiyWUD";;;;"903256820633894914";https://twitter.com/NashvillePatch/status/903256820633894914
Political_IM;2017-08-31 09:00;0;0;"Trent Partridge Harvey weakens to tropical depression - Harvey has weakened to a tropical depression as it cont... http:// ow.ly/Akny50dLCTX";;;;"903256301257490434";https://twitter.com/Political_IM/status/903256301257490434
Amia_News;2017-08-31 09:00;0;0;"Tôi đã thêm video vào danh sách phát http:// youtu.be/ijdrsdS-vbI?a Harvey weakens to a tropical depression , life threatening flooding";;;;"903256217761480705";https://twitter.com/Amia_News/status/903256217761480705
SF_KipDiggs;2017-08-31 08:58;1;2;"#Harvey , now a tropical depression , weakens as it moves through Louisiana. http:// st8.fm/TgJDLN";;;#Harvey;"903255733411700738";https://twitter.com/SF_KipDiggs/status/903255733411700738
TylerHallWx;2017-08-31 08:56;0;0;"Good morning! Here's the infrared imagery of Tropical Depression #Harvey . pic.twitter.com/hBp1TudKsN";;;#Harvey;"903255164722847744";https://twitter.com/TylerHallWx/status/903255164722847744
TLNNewOrleans;2017-08-31 08:52;0;0;"Tropical Depression Harvey weakens as it moves through north Louisiana http:// trib.al/hmo3uX4";;;;"903254072815304708";https://twitter.com/TLNNewOrleans/status/903254072815304708
ccc101work;2017-08-31 08:50;0;0;"GOES-16 captured this geocolor image of Tropical Depression Harvey at about 7:20 am CDT today, August 31, 2017.... http:// fb.me/6k573x9R7";;;;"903253780153503745";https://twitter.com/ccc101work/status/903253780153503745
Kenlenkirk;2017-08-31 08:47;0;0;"RT NOLAnews: Tropical Depression Harvey weakens as it moves through north Louisiana http:// trib.al/hmo3uX4";;;;"903252961782112256";https://twitter.com/Kenlenkirk/status/903252961782112256
PRnewsBusiness;2017-08-31 08:45;0;0;"The Latest: House Republican leaders support Harvey relief - HOUSTON (AP) — The Latest on Tropical Depression H... http:// ow.ly/qzHY50dLC2E";;;;"903252467021963264";https://twitter.com/PRnewsBusiness/status/903252467021963264
SYNDICATE45th;2017-08-31 08:44;11;15;"Top FF chains - @HoustonChron @PopeyesChicken @littlecaesars @CarlsJr Let's see Match @pizzahut Tropical Depression #Harvey https:// twitter.com/Dj_Niner/statu s/903114469534035969 …";;@HoustonChron @PopeyesChicken @littlecaesars @CarlsJr @pizzahut;#Harvey;"903252178562936832";https://twitter.com/SYNDICATE45th/status/903252178562936832
Astroguyz;2017-08-31 08:39;0;0;"#Harvey has been downgraded to a tropical depression - currently moving over northern Louisiana: https://www. wunderground.com/hurricane/atla ntic/2017/tropical-depression-harvey … #weather pic.twitter.com/BLOWMiIpXS";;;#Harvey #weather;"903250947589230592";https://twitter.com/Astroguyz/status/903250947589230592
candodem;2017-08-31 08:35;1;0;"Is @MemphisFB so important to @CBS @CBSSports that they are willing 2 risk safety by playing in a tropical depression ? #Harvey #Memphis #SOS";;@MemphisFB @CBS @CBSSports;#Harvey #Memphis #SOS;"903249996987936768";https://twitter.com/candodem/status/903249996987936768
candodem;2017-08-31 08:33;1;0;"@MemphisFB is playing in life threatening conditions 2nite due 2 @CBS @CBSSports stubbornness #Harvey is still tropical depression PLEASE RT";;@MemphisFB @CBS @CBSSports;#Harvey;"903249306769088512";https://twitter.com/candodem/status/903249306769088512
KREMBriana;2017-08-31 08:33;4;4;"Expected path of Tropical Depression #Harvey : pic.twitter.com/ROHp8LaHRJ";;;#Harvey;"903249285021556736";https://twitter.com/KREMBriana/status/903249285021556736
Kenlenkirk;2017-08-31 08:31;0;0;"RT NOLAnews: Tropical Depression Harvey weakens as it moves through north Louisiana http:// trib.al/hmo3uX4";;;;"903248877511471105";https://twitter.com/Kenlenkirk/status/903248877511471105
WCVB;2017-08-31 08:30;3;0;"Harvey downgraded to tropical depression ; death toll rises above 30​ http:// bit.ly/2glpplM pic.twitter.com/q65HbhkOQd";;;;"903248552822001665";https://twitter.com/WCVB/status/903248552822001665
