"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"4306","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:27:54,FALSE,NA,"903051686222188544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Chris_Tanaka",619,TRUE,FALSE,NA,NA
"4307","RT @FOX5Atlanta: #BREAKING:MIAMI (AP) -- Natl Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding co…",FALSE,0,NA,2017-08-31 00:27:52,FALSE,NA,"903051676269072384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SeanboMullins",11,TRUE,FALSE,NA,NA
"4308","RT @USATODAY: #BREAKING Harvey has been downgraded to a tropical depression, National Weather Service says https://t.co/zDVC3crsE7",FALSE,0,NA,2017-08-31 00:27:50,FALSE,NA,"903051670078111744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","henry_957",78,TRUE,FALSE,NA,NA
"4309","RT @weatherchannel: Harvey has weakened to a depression, but catastrophic flooding continues in southeast Texas and southwest Louisiana: ht…",FALSE,0,NA,2017-08-31 00:27:50,FALSE,NA,"903051667410751489",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Suebel71",161,TRUE,FALSE,NA,NA
"4310","RT @businessinsider: UPDATED: #Harvey is now a tropical depression, at least 38 dead, Texas &amp; Louisiana hit w/ 'catastrophic' flooding http…",FALSE,0,NA,2017-08-31 00:27:49,FALSE,NA,"903051666487947264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LElkan",38,TRUE,FALSE,NA,NA
"4311","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:27:49,FALSE,NA,"903051664235618308",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rjl131313",619,TRUE,FALSE,NA,NA
"4312","RT @BI_Science: UPDATED: #Harvey is now a tropical depression, at least 38 dead, Texas &amp; Louisiana hit w/ 'catastrophic' flooding https://t…",FALSE,0,NA,2017-08-31 00:27:48,FALSE,NA,"903051660595007488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SampleATL",2,TRUE,FALSE,NA,NA
"4313","RT @businessinsider: UPDATED: #Harvey is now a tropical depression, at least 38 dead, Texas &amp; Louisiana hit w/ 'catastrophic' flooding http…",FALSE,0,NA,2017-08-31 00:27:46,FALSE,NA,"903051653204586496",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SunilSunderRaj3",38,TRUE,FALSE,NA,NA
"4314","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:27:46,FALSE,NA,"903051653095534592",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Dloissr",619,TRUE,FALSE,NA,NA
"4315","RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.",FALSE,0,NA,2017-08-31 00:27:46,FALSE,NA,"903051652399341568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AVT470BUG",619,TRUE,FALSE,NA,NA
